total_return,ann_return,ann_vol,sharpe,max_drawdown,calmar,avg_turnover,cost_drag_ann,avg_exposure,strategy,split,cost_bps,display_name
-0.39044615976382036,-0.17438254435677303,0.3147841537752688,-0.45161044104290937,-0.5489529151732992,-0.31766393717341335,0.0,0.0,1.5,rsi_deep_value,holdout,10,RSI Deep Value
-0.6431665419964996,-0.1243859988935535,0.38648205737467234,-0.15009171896321047,-0.7129587600514246,-0.17446450743459796,0.0007672634271099745,0.00019335038363171357,1.489769820971867,rsi_deep_value,full,10,RSI Deep Value
-0.43952648398738325,-0.1700055215600551,0.17397661233117068,-0.9826048881283351,-0.4760350302889155,-0.35712817490947096,0.05363984674329502,0.013517241379310345,0.2161558109833972,dual_trend_macro,train,10,Dual Trend Macro
-0.2093446757704479,-0.10739787542330659,0.2264244310042422,-0.38812400348959414,-0.37517292771808686,-0.28626232728606604,0.08493282149712092,0.021403071017274473,0.31429942418426104,dual_trend_macro,validation,10,Dual Trend Macro
-0.42204899449553035,-0.1912230166604003,0.19821142553608284,-0.9710172172852539,-0.46371091968972844,-0.41237548770330595,0.10253456221198157,0.025838709677419358,0.3955453149001536,dual_trend_macro,holdout,10,Dual Trend Macro
-0.7438859999023806,-0.1610290881882377,0.197060814779641,-0.7915189623667751,-0.7676469615357532,-0.20976972001046312,0.0782608695652174,0.01972173913043478,0.3020460358056266,dual_trend_macro,full,10,Dual Trend Macro
-0.1341634733538789,-0.04530548234550391,0.24014390289903353,-0.07332896817245699,-0.39854798315865503,-0.11367635582154881,0.06673052362707534,0.01681609195402299,0.8118348233290763,final_research_ensemble,train,10,Final Research Ensemble
0.115815464153608,0.05443479562110998,0.25857923656309606,0.3343943646681252,-0.3271364325418711,0.16639783957460233,0.05886116442738324,0.014833013435700577,0.9019513755598209,final_research_ensemble,validation,10,Final Research Ensemble
-0.18613663079625165,-0.07663209509391222,0.1871384892144094,-0.33271626005376964,-0.32897874106708536,-0.23293935299693241,0.06144393241167435,0.015483870967741932,0.834485407066052,final_research_ensemble,holdout,10,Final Research Ensemble
-0.21371537920514883,-0.030516979865347404,0.22920794785598345,-0.02069303764229407,-0.39950589693860206,-0.0763868070514048,0.06287297527706734,0.01584398976982097,0.8433930093776641,final_research_ensemble,full,10,Final Research Ensemble
-0.28620668886623324,-0.10283174220840852,0.27603752820844285,-0.25511330407961125,-0.47949633873964015,-0.21445782563992574,0.001277139208173691,0.0006436781609195402,1.0,buy_and_hold,train,20,Buy & Hold QQQ
0.07406865079914193,0.03516538115715773,0.28413478854514856,0.2639295224837718,-0.3735858904107594,0.09412930750273579,0.0,0.0,1.0,buy_and_hold,validation,20,Buy & Hold QQQ
-0.26038936461251905,-0.11020176286245165,0.20985610251684586,-0.4516104410429094,-0.4005272233267755,-0.27514175427856513,0.0,0.0,1.0,buy_and_hold,holdout,20,Buy & Hold QQQ
-0.432967877656402,-0.07052018118094894,0.2581630111422396,-0.15408151246067414,-0.5073248122425144,-0.13900400587393008,0.0005115089514066496,0.00025780051150895144,1.0,buy_and_hold,full,20,Buy & Hold QQQ
